time_s,lat,lon,alt_m,phase
2360.0,35.733835,10.6483,13753.0,ascent
2370.0,35.733514,10.650632,13811.0,ascent
2380.0,35.733226,10.653057,13869.0,ascent
2390.0,35.733008,10.655523,13927.0,ascent
2400.0,35.732432,10.657745,13985.0,ascent
2410.0,35.731956,10.660006,14043.0,ascent
2420.0,35.731561,10.662252,14101.0,ascent
2430.0,35.731234,10.664474,14159.0,ascent
2440.0,35.730859,10.666579,14217.0,ascent
2450.0,35.73046,10.668647,14275.0,ascent
2460.0,35.730044,10.670906,14333.0,ascent
2470.0,35.729643,10.672992,14391.0,ascent
2480.0,35.729197,10.675039,14449.0,ascent
2490.0,35.728883,10.676934,14507.0,ascent
2500.0,35.728659,10.678812,14565.0,ascent
2510.0,35.728167,10.680955,14623.0,ascent
2520.0,35.727917,10.682919,14681.0,ascent
2530.0,35.727622,10.684618,14739.0,ascent
2540.0,35.727138,10.6868,14797.0,ascent
2550.0,35.726713,10.688667,14855.0,ascent
2560.0,35.726364,10.690433,14913.0,ascent
2570.0,35.725963,10.69233,14971.0,ascent
2580.0,35.72551,10.694254,15029.0,ascent
2590.0,35.725141,10.696169,15087.0,ascent
2600.0,35.724578,10.69801,15145.0,ascent
2610.0,35.724247,10.699732,15203.0,ascent
2620.0,35.723815,10.701619,15261.0,ascent
2630.0,35.7234,10.703492,15319.0,ascent
2640.0,35.722936,10.705328,15377.0,ascent
2650.0,35.722394,10.706992,15435.0,ascent
2660.0,35.722042,10.708652,15493.0,ascent
2670.0,35.721594,10.710246,15551.0,ascent
2680.0,35.721159,10.71172,15609.0,ascent
2690.0,35.720667,10.713238,15667.0,ascent
2700.0,35.720335,10.714639,15725.0,ascent
2710.0,35.719991,10.716075,15783.0,ascent
2720.0,35.719567,10.717621,15841.0,ascent
2730.0,35.719151,10.719106,15899.0,ascent
2740.0,35.718781,10.720622,15957.0,ascent
2750.0,35.71829,10.722106,16015.0,ascent
2760.0,35.717801,10.723554,16073.0,ascent
2770.0,35.717214,10.724927,16131.0,ascent
2780.0,35.716765,10.726335,16189.0,ascent
2790.0,35.716362,10.727701,16247.0,ascent
2800.0,35.71595,10.729013,16305.0,ascent
2810.0,35.71543,10.730353,16363.0,ascent
2820.0,35.71496,10.73172,16421.0,ascent
2830.0,35.71437,10.733074,16479.0,ascent
2840.0,35.713877,10.734391,16537.0,ascent
2850.0,35.713308,10.735708,16595.0,ascent
2860.0,35.712799,10.736889,16653.0,ascent
2870.0,35.712279,10.738192,16711.0,ascent
2880.0,35.711782,10.739491,16769.0,ascent
2890.0,35.711096,10.74074,16827.0,ascent
2900.0,35.710497,10.741913,16885.0,ascent
2910.0,35.710025,10.742992,16943.0,ascent
2920.0,35.709483,10.744182,17001.0,ascent
2930.0,35.708752,10.745285,17059.0,ascent
2940.0,35.708207,10.746381,17117.0,ascent
2950.0,35.707499,10.747438,17175.0,ascent
2960.0,35.706893,10.748458,17233.0,ascent
2970.0,35.70628,10.749706,17291.0,ascent
2980.0,35.705694,10.750715,17349.0,ascent
2990.0,35.705024,10.751697,17407.0,ascent
3000.0,35.704439,10.752807,17465.0,ascent
3010.0,35.703784,10.753865,17523.0,ascent
3020.0,35.703101,10.754947,17581.0,ascent
3030.0,35.702427,10.755865,17639.0,ascent
3040.0,35.701704,10.756835,17697.0,ascent
3050.0,35.701059,10.75767,17755.0,ascent
3060.0,35.700398,10.758531,17813.0,ascent
3070.0,35.69974,10.75935,17871.0,ascent
3080.0,35.699121,10.76025,17929.0,ascent
3090.0,35.698388,10.761135,17987.0,ascent
3100.0,35.697659,10.761891,18045.0,ascent
3110.0,35.696968,10.762701,18103.0,ascent
3120.0,35.696273,10.763552,18161.0,ascent
3130.0,35.695565,10.764391,18219.0,ascent
3140.0,35.694825,10.765089,18277.0,ascent
3150.0,35.694226,10.765908,18335.0,ascent
3160.0,35.693373,10.766576,18393.0,ascent
3170.0,35.692731,10.767371,18451.0,ascent
3180.0,35.692032,10.76808,18509.0,ascent
3190.0,35.691352,10.768814,18567.0,ascent
3200.0,35.690595,10.769482,18625.0,ascent
3210.0,35.68991,10.770059,18683.0,ascent
3220.0,35.689109,10.770755,18741.0,ascent
3230.0,35.688403,10.771374,18799.0,ascent
3240.0,35.687708,10.772079,18857.0,ascent
3250.0,35.686991,10.772691,18915.0,ascent
3260.0,35.686208,10.773326,18973.0,ascent
3270.0,35.685457,10.773983,19031.0,ascent
3280.0,35.684709,10.774524,19089.0,ascent
3290.0,35.684019,10.775017,19147.0,ascent
3300.0,35.683267,10.775572,19205.0,ascent
3310.0,35.682613,10.776023,19263.0,ascent
3320.0,35.681939,10.776493,19321.0,ascent
3330.0,35.681267,10.777027,19379.0,ascent
3340.0,35.680608,10.777416,19437.0,ascent
3350.0,35.679972,10.777944,19495.0,ascent
3360.0,35.679236,10.778362,19553.0,ascent
3370.0,35.678584,10.778804,19611.0,ascent
3380.0,35.677852,10.779188,19669.0,ascent
3390.0,35.677068,10.779581,19727.0,ascent
3400.0,35.676366,10.779951,19785.0,ascent
3410.0,35.675642,10.780277,19843.0,ascent
3420.0,35.674924,10.780648,19901.0,ascent
3430.0,35.674267,10.780975,19959.0,ascent
3440.0,35.673544,10.781218,20017.0,ascent
